Ligand,Valence,H1,H2,H3,H4,Ca1,Mg1,Ba1,Cd1,Sr1,Mn1,Fe(II)1,Cu1,Zn1,dH1,dH2,dH3,dH4,dCa1,dMg1,dBa1,dCd1,dSr1,dMn1,dFe(II)1,dCu1,dZn1,CaH1,MgH1,BaH1,CdH1,SrH1,MnH1,XH1,CuH1,ZnH1,dCaH1,dMgH1,dBaH1,dCdH1,dSrH1,dMnH1,dXH1,dCuH1,dZnH1
ADA,2,6.59,2.37,1.59,0,3.81,2.5,2.35,7.1,2.5,5,4.4,10.5,8.8,-2,-0.5,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMP-5,2,6.67,3.85,0,0,1.45,1.6,1.2,2.5,1.2,2.5,2,3.2,2.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADP,3,6.37,3.92,0,0,2.8,3.1,2.4,4.5,2.4,4.2,4,6,5,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP,4,6.48,3.99,1.9,0,3.86,4.19,3.2,5.5,3.2,5,4.5,7.2,6.1,0.5,-3.6,2.3,0,3.2,4.4,0,0,0,0,0,0,0,2.16,2.32,0,0,0,0,0,0,0,1.9,2.3,0,0,0,0,0,0,0
BAPTA,4,6.37,5.49,4.2,0,6.97,1.77,5.4,11,5.4,6,6,12,11,-6.5,-4,0,0,-6.5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITRATE,3,5.7,4.36,2.92,0,4.85,4.85,3,6.5,3.1,5,4.4,8,7.5,-0.8,-0.5,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DiBrBAP,4,5.6,4.57,0,0,5.6,1,4,10,4,5,5,11,10,-5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDTA,4,10.17,6.11,2.68,2,10.65,8.79,7.86,16.5,8.73,13.87,14.3,18.8,16.5,-5.6,-2,0,0,-6.5,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGTA,4,9.4,8.79,2.7,0,10.86,5.28,8.41,16.7,9.27,12.07,11.9,17.7,12.9,-5.6,-5.6,-2.6,0,-7.9,5.5,0,0,0,0,0,0,0,5.307,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEDTA,3,9.96,5.42,2.61,1.6,8.1,7,6.2,13,6.8,10.7,12.2,17.4,14.5,-5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTA,3,9.72,2.52,1.81,0,6.4,5.4,4.8,9.8,5,7.5,8.3,13,10.7,-4.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPEN,4,7.19,4.87,3.35,2.96,4.4,1.7,3,15.4,3.2,10.3,14.6,20.5,15.6,-6,-4,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspartate,2,9.66,3.66,1.88,0,1.6,2.43,0.96,4.39,1.22,2.6,2.2,8.7,5.84,-10.5,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutamate,2,9.47,4.07,2.13,0,1.43,1.9,0.8,3.9,1.1,2.1,2.1,7.85,4.75,-10.5,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycinate,1,9.6,2.34,0,0,1.39,2.1,0.77,4.2,0.78,3.2,4.3,8.2,5,-10.8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gluconate,1,3.7,0,0,0,1.21,0.7,0.9,1,1,0.9,1.2,1.8,1.7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
